250×13 DataFrame
 Row │ seed1   iteration  depositDist                     network                            graphParams1  graphParams2  withdrawRV                         reserveRatio  depositInsuranceQuantile  seed2   key                                started  completed
     │ Int64   Int64      Pareto…                         SimpleGr…                          Int64         Float64       Distribut…                         Float64       Float64                   Int64   String                             Bool     Bool
─────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  45 │  70862          5  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  470569  2026-01-25T14:50:39.354-70862-47…    false      false
  46 │  70862          6  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  818279  2026-01-25T14:50:39.354-70862-81…    false      false
  47 │  70862          7  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  660305  2026-01-25T14:50:39.354-70862-66…    false      false
  48 │  70862          8  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  271040  2026-01-25T14:50:39.354-70862-27…    false      false
  49 │  70862          9  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2   49707  2026-01-25T14:50:39.354-70862-49…    false      false
  50 │  70862         10  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  226351  2026-01-25T14:50:39.354-70862-22…    false      false
  51 │ 710994          1  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  518245  2026-01-25T14:50:39.354-710994-5…    false      false
  52 │ 710994          2  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  134198  2026-01-25T14:50:39.354-710994-1…    false      false
  53 │ 710994          3  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  597663  2026-01-25T14:50:39.354-710994-5…    false      false
  54 │ 710994          4  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  393559  2026-01-25T14:50:39.354-710994-3…    false      false
  55 │ 710994          5  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  391976  2026-01-25T14:50:39.354-710994-3…    false      false
  56 │ 710994          6  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  732462  2026-01-25T14:50:39.354-710994-7…    false      false
  57 │ 710994          7  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  610349  2026-01-25T14:50:39.354-710994-6…    false      false
  58 │ 710994          8  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  172486  2026-01-25T14:50:39.354-710994-1…    false      false
  59 │ 710994          9  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  809425  2026-01-25T14:50:39.354-710994-8…    false      false
  60 │ 710994         10  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  640488  2026-01-25T14:50:39.354-710994-6…    false      false
  61 │ 320609          1  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  831051  2026-01-25T14:50:39.354-320609-8…    false      false
  62 │ 320609          2  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2   14273  2026-01-25T14:50:39.354-320609-1…    false      false
  63 │ 320609          3  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  669492  2026-01-25T14:50:39.354-320609-6…    false      false
  64 │ 320609          4  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  847602  2026-01-25T14:50:39.354-320609-8…    false      false
  65 │ 320609          5  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2   83311  2026-01-25T14:50:39.354-320609-8…    false      false
  66 │ 320609          6  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  999798  2026-01-25T14:50:39.354-320609-9…    false      false
  67 │ 320609          7  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  964353  2026-01-25T14:50:39.354-320609-9…    false      false
  68 │ 320609          8  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  138084  2026-01-25T14:50:39.354-320609-1…    false      false
  69 │ 320609          9  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  958470  2026-01-25T14:50:39.354-320609-9…    false      false
  70 │ 320609         10  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  461761  2026-01-25T14:50:39.354-320609-4…    false      false
  71 │ 811430          1  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  834174  2026-01-25T14:50:39.354-811430-8…    false      false
  72 │ 811430          2  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  951377  2026-01-25T14:50:39.354-811430-9…    false      false
  73 │ 811430          3  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  300487  2026-01-25T14:50:39.354-811430-3…    false      false
  74 │ 811430          4  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  671607  2026-01-25T14:50:39.354-811430-6…    false      false
  75 │ 811430          5  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  511222  2026-01-25T14:50:39.354-811430-5…    false      false
  76 │ 811430          6  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  408548  2026-01-25T14:50:39.354-811430-4…    false      false
  77 │ 811430          7  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  110737  2026-01-25T14:50:39.354-811430-1…    false      false
  78 │ 811430          8  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  447019  2026-01-25T14:50:39.354-811430-4…    false      false
  79 │ 811430          9  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  976953  2026-01-25T14:50:39.354-811430-9…    false      false
  80 │ 811430         10  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  380571  2026-01-25T14:50:39.354-811430-3…    false      false
  81 │ 895386          1  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  140608  2026-01-25T14:50:39.354-895386-1…    false      false
  82 │ 895386          2  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  119937  2026-01-25T14:50:39.354-895386-1…    false      false
  83 │ 895386          3  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  531787  2026-01-25T14:50:39.354-895386-5…    false      false
  84 │ 895386          4  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  691809  2026-01-25T14:50:39.354-895386-6…    false      false
  85 │ 895386          5  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  517609  2026-01-25T14:50:39.354-895386-5…    false      false
  86 │ 895386          6  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  695451  2026-01-25T14:50:39.354-895386-6…    false      false
  87 │ 895386          7  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  998121  2026-01-25T14:50:39.354-895386-9…    false      false
